year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING
1967,3.2,4.1,7.7,13.8,19.9,23.1,26.6,28.4,23.7,16.4,12,4.6,15.3,13.8
1968,3.4,2.3,8,14.3,18.1,22.4,25.6,26.9,22.5,15.7,11.6,9,15,13.46666667
1969,4.8,5,6.9,13.8,19,21.4,26.1,28.1,24.7,16.7,11,5.7,15.3,13.23333333
1970,3.6,5.1,5,13.1,19.2,21,26.5,27.7,24.7,17.3,11.2,6.2,15.1,12.43333333
1971,4.3,5.1,7.4,13.6,18.5,22.5,26.7,27.3,22.9,16.3,11.8,7.4,15.3,13.16666667
1972,7.1,5.8,8.8,14.4,18.7,22.5,27.1,27.6,23.1,18.1,12,7.7,16.1,13.96666667
1973,6.2,6.9,7.8,15.8,18.4,21.9,28.4,28.5,22.3,16.8,10.1,4.3,15.6,14
1974,3.2,4.2,7,14.4,19.3,22.7,25.1,27.6,22.3,17,10.4,6.6,15,13.56666667
1975,4,3.7,7.4,14.1,18.5,22.5,26.9,27.2,25,17.6,12.2,6.3,15.5,13.33333333
1976,3.7,6.7,7.9,13.5,18.2,22.1,25.6,26.4,21.2,16.6,10.3,6,14.9,13.2
1977,2.5,2.9,8.7,14.5,18.7,22.2,27.4,27,24.2,18.4,13.4,8,15.7,13.96666667
1978,4.7,3.5,7.6,13.4,19.3,22.5,28.5,28.9,23.8,17.4,11.8,7.5,15.7,13.43333333
1979,5.7,7.5,8,12.9,17.9,24,25.8,27.8,23.7,18.3,12.5,7.6,16,12.93333333
1980,4.2,3.5,7.3,12.7,18.6,23.4,24.9,25.6,22.2,17.4,12.2,5.1,14.8,12.86666667
1981,2.4,3.9,8.3,13.5,17.7,22.3,27.4,26.7,22,16,9.6,5.8,14.6,13.16666667
1982,3.8,4.3,8.6,13.4,20.2,21.6,24.2,26.4,22.1,17.3,13.4,7,15.2,14.06666667
1983,4.8,4.5,7.8,15.9,19.4,21.8,25.7,28.5,23.8,16.5,10.9,5.1,15.4,14.36666667
1984,2.2,2.3,5.1,13.1,18.4,23.7,27,28.8,23.2,16.6,12.2,6.6,14.9,12.2
1985,3.1,5.5,8.5,14.6,19.7,21.8,27,29.2,24.3,17.7,11.3,5.4,15.7,14.26666667
1986,2.8,2.6,7.6,14.1,18,22.5,25.6,28,24,15.8,11,7.6,15,13.23333333
1987,4.8,5.3,8.2,13.9,18.8,23.4,27,28.1,23.6,18.7,12.1,7,15.9,13.63333333
1988,5.9,3.9,7.3,13.5,18.2,22.7,25.4,27.4,24,16.4,9.6,5.9,15,13
1989,6.8,6.6,8.2,14.5,18.1,21.8,25.7,27,23.8,16.9,12.6,7,15.8,13.6
1990,4.4,7.9,9.3,13.8,18.6,24.2,27.6,29,24.7,17.9,13.7,7.7,16.6,13.9
1991,5.1,4.3,9.4,15,18.7,24,27,27.4,24.8,17.7,11.8,8.4,16.1,14.36666667
1992,6.1,5.1,9.7,14.4,17.1,21.9,26.6,27.8,23.6,17.9,11.9,8.1,15.9,13.73333333
1993,5.8,6.1,7.6,13.3,18.2,22.1,24.7,25.7,22.1,16.8,13.4,7.1,15.2,13.03333333
1994,4.8,4.6,7.1,15.6,20,23.3,29.4,29.8,25.1,19.6,13.1,7.7,16.7,11.35
1995,4.6,4.9,8.6,13.6,18.2,21.3,26.9,29.9,23,18.5,10.3,5.3,15.4,13.46666667
1996,4.7,3.7,7.7,11.7,18.8,23.2,27.5,27.6,22.4,17.2,12.3,7.1,15.3,12.73333333
1997,4.6,4.6,9.3,14.4,19.3,23.3,26.5,28,23.8,16.9,13.1,7.9,16,14.33333333
1998,4.9,7,9.7,17.3,21.2,22.9,27.4,28.9,25,20.1,12.5,8.3,17.1,16.06666667
1999,5.1,4.7,9.9,14.1,19.9,23.1,26.4,28.3,26.4,18.9,12.7,6.9,16.4,14.63333333
2000,6,3.6,7.5,13.5,20.2,23.2,28.3,28.9,24.6,18.6,13.3,7.2,16.2,13.73333333
2001,3.9,5.3,8.6,14.7,20,23.6,28.8,28.2,23.5,18.1,11.4,6.5,16.1,14.43333333
2002,5.7,6.1,10.3,15.8,19.2,23.1,28.6,28.2,24.1,17.7,9.5,6.9,16.3,15.1
2003,3.9,5.5,7.3,15.1,19.6,22.7,24.3,27.6,25,16.9,14.4,7.2,15.8,14
2004,4.3,6.4,9.1,15.4,20.3,24.4,28.9,27.7,25.3,18,13.5,8.6,16.8,14.93333333
2005,4.5,4.9,7.7,15.3,18.5,24.6,26.8,28.2,25.3,18.8,11.8,3.9,15.9,13.83333333
2006,4,5.5,7.5,12.6,19,23.5,26.3,29.2,23.6,19.2,13.3,7.6,15.9,13.03333333
2007,5.8,7.3,8.6,13.5,18.9,23.1,25.3,29.1,26.1,18.7,12,7.7,16.3,13.66666667
2008,4.6,3.6,9.6,14.4,19.3,22.3,28.5,28,24,18.5,11.9,7.6,16,14.43333333
2009,5.2,6.7,8.8,14.6,19.3,23.5,26.6,27.4,23.5,18.1,12.3,7.2,16.1,14.23333333
2010,4.7,6.8,8.5,12.6,18.1,23.7,27.6,30.1,25.9,19.1,11.8,7.5,16.4,13.06666667
2011,2.8,6.3,6.8,12.5,19,24.1,27.9,28.7,24.7,18.4,13.8,6.5,16,12.76666667
2012,4.1,4.1,8.3,14.2,18.8,22.7,27.5,29,25.6,18.2,11.1,5.4,15.8,16.5
2013,3.9,4.5,9.7,13.4,19.2,24.1,28,29.2,24.3,20,11.5,6.3,16.2,14.1
2014,4.4 ),5.1,9,14.4,19.8,24.1,27.6,27.5,23.3,18.8,13.1,5.5,16.1,14.4
2015,4.9,5.6,9.4,15.6,21.2,22.8,27.2,28.3,22.9,18.1,14.5,9,16.6,15.4
2016,5.7,6.4,9.9,16.1,21,23.2,27.8,29,25.3,19.7,12.5,8.2,17.1,15.66666667
2017,4.8,5.1,8.2,14.8,20.9,22.5,28.4,28.7,23.7,18,11.2,5.6,16,14.63333333
2018,3.9,4.4,10.9,16.4,20,23.4,29.8,29.5,23.6,18.7,13.5,8.2,16.9,15.76666667
2019,5.1,6.9,9.6,13.9,20.7,23.6,26.4,29.3,26.2,20,12.9,8.3,16.9,14.73333333
2020,7.5,6.9,10.6,12.9,20.6,24.7,25.7,30.5,25.5,17.9,13.6,7.2,17,14.7
2021,5.1,7.7,11.6,14.8,19.4,23.9,27.9,27.7,24.6,19.6,12.9,7.4,16.9,15.26666667
